id,course_1,course_2,course_3,type,parent_bucket,child_bucket
1,BIOL 4987,BIOL 4987H,,honors,,
2,CHEM 1002,CHEM 1002H,,honors,,
3,CHEM 1014,CHEM 1014H,,honors,,
4,COMM 4550,COMM 4550H,,honors,,
5,COMM 4750,COMM 4750H,,honors,,
6,CORE 1929,CORE 1929H,,honors,,
7,CORE 4929,CORE 4929H,,honors,,
8,ECON 1103,ECON 1103H,,honors,,
9,ECON 1104,ECON 1104H,,honors,,
10,GRMN 3500,GRMN 3500H,,honors,,
11,HEAL 1025,HEAL 1025H,,honors,,
12,HEAL 4901,HEAL 4901H,,honors,,
13,HIST 4255,HIST 4255H,,honors,,
14,HIST 4271,HIST 4271H,,honors,,
15,HIST 4955,HIST 4955H,,honors,,
16,MATH 1700,MATH 1700H,,honors,,
17,PHIL 1001,PHIL 1001H,,honors,,
18,POSC 2201,POSC 2201H,,honors,,
19,POSC 2401,POSC 2401H,,honors,,
20,POSC 2601,POSC 2601H,,honors,,
21,THEO 1001,THEO 1001H,,honors,,
22,THEO 2200,THEO 2200H,,honors,,
23,THEO 2240,THEO 2240H,,honors,,
24,THEO 2400,THEO 2400H,,honors,,
25,THEO 3100,THEO 3100H,,honors,,
26,THEO 3130,THEO 3130H,,honors,,
27,THEO 3230,THEO 3230H,,honors,,
28,THEO 3340,THEO 3340H,,honors,,
29,THEO 3430,THEO 3430H,,honors,,
30,THEO 3470,THEO 3470H,,honors,,
31,THEO 3530,THEO 3530H,,honors,,
32,THEO 4000,THEO 4000H,,honors,,
33,THEO 4300,THEO 4300H,,honors,,
34,THEO 4400,THEO 4400H,,honors,,
35,THEO 4405,THEO 4405H,,honors,,
36,ACCO 4010,ACCO 5010,,grad,,
37,ACCO 4040,ACCO 5040,ACCO 6040,grad,,
38,ACCO 4045,ACCO 5045,ACCO 6045,grad,,
39,ACCO 4050,ACCO 5050,ACCO 6050,grad,,
40,ACCO 4060,ACCO 5060,,grad,,
41,ACCO 4080,ACCO 5080,,grad,,
42,ACCO 4119,ACCO 5119,ACCO 6119,grad,,
43,ACCO 4931,ACCO 5931,ACCO 6931,grad,,
44,ADPR 4600,ADPR 5600,,grad,,
45,ANTH 4316,ANTH 5316,,grad,,
46,BIEN 4600,BIEN 5600,,grad,,
47,BIOL 4102,BIOL 5102,,grad,,
48,BIOL 4201,BIOL 5201,,grad,,
49,BIOL 4403,BIOL 5403,,grad,,
50,BIOL 4410,BIOL 5410,,grad,,
51,BIOL 4501,BIOL 5501,,grad,,
52,BIOL 4802,BIOL 5802,,grad,,
53,BISC 4010,BISC 5010,,grad,,
54,BISC 4140,BISC 5140,,grad,,
55,BISC 4150,BISC 7150,,grad,,
56,BISC 4153,BISC 7153,,grad,,
57,BISC 4155,BISC 5155,,grad,,
58,BISC 4157,BISC 7157,,grad,,
59,BISC 4160,BISC 5160,,grad,,
60,BISC 4170,BISC 5170,,grad,,
