course_code,hard_prereq,concurrent_with,min_standing
ACCO 1030,none,,0.0
ACCO 1031,ACCO 1030,,0.0
ACCO 3001,ACCO 1031,,0.0
ACCO 3986,ACCO 3001;ACCO 4020,,0.0
ACCO 3987,ACCO 3001;ACCO 4020,,0.0
ACCO 4000,ACCO 3001,,0.0
ACCO 4010,ACCO 3001,,0.0
ACCO 4015,ACCO 3001,,0.0
ACCO 4020,ACCO 3001,,0.0
ACCO 4030,ACCO 3001,,0.0
ACCO 4040,none,ACCO 4020,0.0
ACCO 4045,ACCO 4010,,0.0
ACCO 4050,ACCO 1031,,0.0
ACCO 4060,ACCO 4050,,0.0
ACCO 4080,ACCO 3001,,0.0
ACCO 4119,ACCO 4010,,4.0
ACCO 4170,ACCO 4050,,0.0
ACCO 4931,ACCO 3001,,0.0
ACCO 4975,ACCO 4010,,0.0
ACCO 4986,ACCO 3986 or ACCO 3987,,0.0
ACCO 4987,ACCO 3987,,3.0
ACCO 4989,ACCO 3001;ACCO 4020,,0.0
ACCO 4995,none,,0.0
ACCO 5010,none,,0.0
ACCO 5015,none,,0.0
ACCO 5040,none,,0.0
ACCO 5045,none,,0.0
ACCO 5050,none,,0.0
ACCO 5060,ACCO 4050 or OR 5050,,0.0
ACCO 5080,none,,0.0
ACCO 5119,none,,0.0
ACCO 5931,ACCO 6200,,0.0
ACCO 6001,none,,0.0
ACCO 6040,none,,0.0
ACCO 6045,none,,0.0
ACCO 6050,none,,0.0
ACCO 6065,ACCO 4170,,0.0
ACCO 6080,none,,0.0
ACCO 6119,none,,0.0
ACCO 6180,ACCO 6200,,0.0
ACCO 6200,MBA 6010;MBA 6040;MBA 6060,,0.0
ACCO 6520,none,,0.0
ACCO 6525,none,,0.0
ACCO 6535,ACCO 6200,,0.0
ACCO 6931,none,,0.0
ACCO 6986,none,,0.0
ACCO 6987,none,,0.0
ACCO 6988,ACCO 6987,,0.0
ACCO 6995,none,,0.0
ACCOI 4931,ACCO 3001,,0.0
ADPR 2100,none,,0.0
ADPR 2200,ENGL 1001 or COMM 1100,,0.0
ADPR 3200,ADPR 2100;ADVE 1400 or PURE 1800,,0.0
ADPR 4300,ADVE 1400;CCOM 2000;PURE 1800,,0.0
ADPR 4350,ADVE 1400 or PURE 1800,,0.0
ADPR 4500,ADVE 1400 or PURE 1800,,0.0
ADPR 4600,ADVE 1400 or PURE 1800,,0.0
ADPR 4750,ADVE 1400 or PURE 1800,,0.0
ADPR 4850,ADVE 1400 or PURE 1800,,0.0
ADPR 4953,ADVE 1400 or PURE 1800,,0.0
ADPR 4961,none,,0.0
ADPR 4995,none,,0.0
ADPR 4997,none,,0.0
ADPR 4999,none,,0.0
ADPR 5300,none,,0.0
ADPR 5350,none,,0.0
ADPR 5500,none,,0.0
ADPR 5600,none,,0.0
ADPR 5850,none,,0.0
ADPR 5953,none,,0.0
ADVE 1400,none,,0.0
ADVE 3000,COMM 2500 or MARK 4060;ADVE 1400 or PURE 1800,,0.0
ADVE 3400,ADVE 1400 or PURE 1800;ADPR 2200,,0.0
ADVE 3986,none,,0.0
ADVE 4100,COMM 2500 or MARK 4060;ADVE 1400 or PURE 1800,,0.0
ADVE 4400,ADVE 3400,,0.0
ADVE 4995,none,,0.0
ADVE 4997,ADVE 1400;ADVE 3000;ADVE 3400;ADVE 4100,,0.0
ADVE 5100,none,,0.0
AFAS 1011,none,,0.0
AFAS 1012,none,,0.0
AFAS 1051,none,,0.0
AFAS 2021,none,,0.0
AFAS 2022,none,,0.0
AFAS 2964,none,,0.0
AFAS 3131,none,,0.0
AFAS 3132,none,,0.0
AFAS 4141,none,,0.0
AFAS 4142,none,,0.0
AFAS 4995,none,,0.0
AIM 3986,none,,0.0
AIM 4310,FINA 3001,ACCO 4080,0.0
AIM 4320,AIM 4310,,0.0
