course_code,Spring 2025,Summer 2025,Fall 2025
ACCO 1030,True,True,True
ACCO 1031,True,True,True
ACCO 3001,True,False,True
ACCO 3986,False,True,False
ACCO 3987,True,False,True
ACCO 4000,True,False,True
ACCO 4010,True,False,True
ACCO 4015,False,False,True
ACCO 4020,True,False,True
ACCO 4030,True,True,True
ACCO 4040,False,False,True
ACCO 4045,True,False,False
ACCO 4050,False,True,True
ACCO 4060,True,True,False
ACCO 4080,True,False,True
ACCO 4119,False,False,False
ACCO 4170,True,False,True
ACCO 4931,False,False,False
ACCO 4975,True,False,False
ACCO 4986,True,False,True
ACCO 4987,False,False,True
ACCO 4989,True,False,True
ACCO 4995,True,False,False
ACCOI 4931,False,False,True
AIM 3986,False,True,False
AIM 4310,False,False,True
AIM 4320,True,False,False
AIM 4330,False,False,True
AIM 4400,False,False,True
AIM 4410,False,False,True
AIM 4420,True,False,False
AIM 4430,False,False,True
AIM 4440,True,False,False
AIM 4470,True,False,True
AIM 4931,False,False,False
AIM 4986,True,False,True
AIM 4989,True,False,True
AIM 4995,False,False,True
AIM 4996,True,False,True
BUAD 1001,True,False,True
BUAD 1560,True,True,True
BUAD 2001,False,False,True
BUAN 3065,True,False,True
BUAN 3066,True,False,True
BUAN 3986,False,False,False
BUAN 4060,False,False,True
BUAN 4061,True,False,False
BUAN 4931,False,False,False
BUAN 4986,False,False,True
BUAN 4989,True,False,True
BULA 3001,True,False,True
BULA 4001,True,True,True
CMST 2300,True,False,True
COMM 1100,True,True,True
ECON 1103,True,True,True
ECON 1104,True,True,True
ECON 3004,True,False,True
ECON 4040,False,False,True
ECON 4044,False,False,False
ECON 4045,False,False,False
ECON 4046,False,False,False
ECON 4060,True,False,True
ECON 4080,False,False,False
ENTP 3001,True,False,True
ENTP 4010,True,False,True
FINA 3001,True,True,True
FINA 3002,True,False,True
FINA 3370,False,False,False
FINA 3986,False,True,False
FINA 4001,True,False,True
FINA 4002,True,False,True
FINA 4011,True,True,True
FINA 4020,False,False,True
FINA 4023,False,False,True
FINA 4040,True,True,True
FINA 4050,True,False,True
FINA 4060,False,False,True
FINA 4065,True,False,True
FINA 4075,True,False,True
FINA 4081,True,False,False
FINA 4082,False,False,False
FINA 4084,False,False,True
FINA 4085,True,False,False
FINA 4121,False,False,False
FINA 4122,False,False,False
FINA 4123,False,False,False
FINA 4191,False,False,False
FINA 4210,False,False,True
FINA 4211,True,False,False
FINA 4212,True,False,False
FINA 4931,True,False,True
FINA 4953,False,False,False
FINA 4986,True,False,True
FINA 4989,True,False,True
FINA 4995,False,False,False
FINAI 4931,True,False,False
HURE 3001,True,True,True
HURE 4060,False,False,False
HURE 4101,False,False,False
INBUI 4931,True,True,False
INSY 3001,True,True,True
INSY 3986,False,True,False
INSY 4051,True,False,True
INSY 4052,True,False,True
INSY 4053,True,False,True
