course_code,soft_prereq,catalog_prereq_raw,soft_prereq_major_restriction,soft_prereq_instructor_consent,soft_prereq_admitted_program,soft_prereq_college_restriction,soft_prereq_program_progress_requirement,soft_prereq_standing_requirement,soft_prereq_placement_required,soft_prereq_minimum_grade,soft_prereq_minimum_gpa,soft_prereq_may_be_concurrent,soft_prereq_other_requirements,soft_prereq_complex_hard_prereq,notes
ACCO 1030,,,,,,,,,,,,,,,
ACCO 1031,,ACCO 1030.,,,,,,,,,,,,,
ACCO 3001,,ACCO 1031.,,,,,,,,,,,,,
ACCO 3986,instructor_consent;complex_hard_prereq,"ACCO 3001, ACCO 4020, and at least 3 additional ACCO major courses; cons. of prog. dir. and cons. of Business Career Center. Consent required.",,cons. of prog. dir. and cons. of Business Career Center; Consent required,,,,,,,,,,"ACCO 3001, ACCO 4020, and at least 3 additional ACCO major courses; cons. of prog. dir. and cons. of Business Career Center. Consent required.","ACCO 3001, ACCO 4020, and at least 3 additional ACCO major courses; cons. of prog. dir. and cons. of Business Career Center. Consent required."
ACCO 3987,instructor_consent;complex_hard_prereq,"ACCO 3001, ACCO 4020, and at least 3 additional ACCO major courses; cons. of prog. dir. and cons. of Business Career Center. Consent required.",,cons. of prog. dir. and cons. of Business Career Center; Consent required,,,,,,,,,,"ACCO 3001, ACCO 4020, and at least 3 additional ACCO major courses; cons. of prog. dir. and cons. of Business Career Center. Consent required.","ACCO 3001, ACCO 4020, and at least 3 additional ACCO major courses; cons. of prog. dir. and cons. of Business Career Center. Consent required."
ACCO 4000,major_restriction,ACCO major and ACCO 3001.,ACCO major and ACCO 3001,,,,,,,,,,,,ACCO major and ACCO 3001.
ACCO 4010,,ACCO 3001.,,,,,,,,,,,,,
ACCO 4015,,ACCO 3001.,,,,,,,,,,,,,
ACCO 4020,,ACCO 3001.,,,,,,,,,,,,,
ACCO 4030,,ACCO 3001.,,,,,,,,,,,,,
ACCO 4040,may_be_concurrent,"ACCO 4020, which may be taken concurrently.",,,,,,,,,,"ACCO 4020, which may be taken concurrently",,,"ACCO 4020, which may be taken concurrently."
ACCO 4045,,ACCO 4010.,,,,,,,,,,,,,
ACCO 4050,,ACCO 1031.,,,,,,,,,,,,,
ACCO 4060,,ACCO 4050.,,,,,,,,,,,,,
ACCO 4080,major_restriction,ACCO 3001; or admittance into the AIM major or Commercial Banking Program.,or admittance into the AIM major or Commercial Banking Program,,,,,,,,,,,,ACCO 3001; or admittance into the AIM major or Commercial Banking Program.
