course_code,course_name,credits,level,active,notes,elective_pool_tag,description
ACCO 1030,Principles of Financial Accounting,3,1000,True,,biz_elective,
ACCO 1031,Principles of Managerial Accounting,3,1000,True,,biz_elective,
ACCO 3001,Intermediate Accounting I,3,3000,True,,biz_elective,
ACCO 3986,Internship Work Period,0,3000,True,S/U grade assessment.,biz_elective,
ACCO 3987,Internship Work Period,0,3000,True,S/U grade assessment.,biz_elective,
ACCO 4000,Accounting Communications,3,4000,True,Marquette Core Curriculum: Writing Intensive,biz_elective,
ACCO 4010,Individual Income Taxation,3,4000,True,,biz_elective,
ACCO 4015,Taxation of Corporations and Partnerships,3,4000,True,,biz_elective,
ACCO 4020,Intermediate Accounting II,3,4000,True,,biz_elective,
ACCO 4030,Cost Accounting,3,4000,True,,biz_elective,
ACCO 4040,International Accounting,3,4000,True,Marquette Core Curriculum: NSM Crossing Boundaries,biz_elective,
ACCO 4045,International Taxation,3,4000,True,,biz_elective,
ACCO 4050,Accounting Information Systems,3,4000,True,Marquette Core Curriculum: NSM Expanding Our Horizons,biz_elective,
ACCO 4060,Accounting Analytics,3,4000,True,,biz_elective,
ACCO 4080,Analysis of Financial Statements,3,4000,True,,biz_elective,
ACCO 4119,Tax Research,3,4000,True,,biz_elective,
ACCO 4170,Auditing,3,4000,True,,biz_elective,
ACCO 4931,Topics in Accounting,3,4000,True,,biz_elective,
ACCO 4975,Volunteer Income Tax Assistance,3,4000,True,,biz_elective,
ACCO 4986,Accounting Internship - Grading Period,0,4000,True,S/U grade assessment.,biz_elective,
ACCO 4987,Accounting Internship - Grading Period,0,4000,True,S/U grade assessment.,biz_elective,
ACCO 4989,Accounting Internship Work and Grading Period,0,4000,True,S/U grade assessment.,biz_elective,
ACCO 4995,Independent Study in Accounting,3,4000,True,,biz_elective,
ACCOI 4931,Topics in Accounting-International,3,4000,True,,biz_elective,
AIM 3986,Accelerating Ingenuity in Markets Internship - Work Period,0,3000,True,S/U grade assessment.,biz_elective,
AIM 4310,Sector and Company Investment Analysis,3,4000,True,,biz_elective,
AIM 4320,"Identifying, Valuing and Communicating Investment Opportunities",3,4000,True,,biz_elective,
AIM 4330,Advanced Research Techniques for Investment Analysis,3,4000,True,,biz_elective,
AIM 4400,"Applied Ingenuity, Analytics, and Valuation",3,4000,True,,biz_elective,
AIM 4410,"Identifying, Building, Creating and Communicating FinTech Opportunities",3,4000,True,,biz_elective,
AIM 4420,"Automating, Programming, Forecasting, and Generating Disruptive FinTech Intelligence",3,4000,True,,biz_elective,
AIM 4430,Constructing and Communicating Advanced Applications and Valuation of FinTech,3,4000,True,,biz_elective,
AIM 4440,Valuing and Communicating a Market Disrupting Idea,3,4000,True,,biz_elective,
AIM 4470,Applied Regulatory Technology and Quantifying the Ethical Implications of Financial Investments,3,4000,True,,biz_elective,
AIM 4931,Topics in Accelerating Ingenuity in Markets,3,4000,True,,biz_elective,
AIM 4986,Accelerating Ingenuity in Markets Internship - Grading Period,0,4000,True,S/U grade assessment.,biz_elective,
AIM 4989,Applied Ingenuity in Markets Internship Work and Grading Period,0,4000,True,S/U grade assessment.,biz_elective,
AIM 4995,Independent Study in Accelerating Ingenuity in Markets,3,4000,True,,biz_elective,
AIM 4996,AIM Being the Difference,3,4000,True,,biz_elective,
BUAD 1001,Business Day 1,3,1000,True,,biz_elective,
BUAD 1560,Applied Statistics,3,1000,True,,biz_elective,
BUAD 2001,Introduction to Applied Artificial Intelligence,3,2000,True,,biz_elective,
BUAN 3065,Unlocking Business Insights through Predictive Analytics,3,3000,True,,biz_elective,
BUAN 3066,Decision Making through Prescriptive Analytics,3,3000,True,,biz_elective,
BUAN 3986,Internship Work Period,0,3000,True,S/U grade assessment.,biz_elective,
BUAN 4060,Business Analytics: Unstructured Data Analysis,3,4000,True,,biz_elective,
BUAN 4061,Advanced Business Analytics,3,4000,True,,biz_elective,
BUAN 4931,Topics in Business Analytics,3,4000,True,,biz_elective,
BUAN 4986,Business Analytics Internship - Grading Period,0,4000,True,S/U grade assessment.,biz_elective,
BUAN 4989,Business Analytics Internship Work and Grading Period,0,4000,True,S/U grade assessment.,biz_elective,
BULA 3001,Legal and Ethical Environment of Business,3,3000,True,"Marquette Core Curriculum: SSC Basic Needs & Justice, Writing Intensive",biz_elective,
BULA 4001,Business Law for Accounting,3,4000,True,Marquette Core Curriculum: Engage Social Systms & Values 2,biz_elective,
