course_code,prerequisites,prereq_warnings,concurrent_with,min_standing,notes,warning_text
ACCO 1030,none,,,0.0,,
ACCO 1031,ACCO 1030,,,0.0,,
ACCO 3001,ACCO 1031,,,0.0,,
ACCO 3986,ACCO 3001;ACCO 4020,instructor_consent,,0.0,"ACCO 3001 , ACCO 4020 , and at least 3 additional ACCO major courses; cons. of prog. dir. and cons. of Business Career Center. Consent required",
ACCO 3987,ACCO 3001;ACCO 4020,instructor_consent,,0.0,"ACCO 3001 , ACCO 4020 , and at least 3 additional ACCO major courses; cons. of prog. dir. and cons. of Business Career Center. Consent required",
ACCO 4000,ACCO 3001,,,0.0,ACCO major and ACCO 3001,
ACCO 4010,ACCO 3001,,,0.0,,
ACCO 4015,ACCO 3001,,,0.0,,
ACCO 4020,ACCO 3001,,,0.0,,
ACCO 4030,ACCO 3001,,,0.0,,
ACCO 4040,ACCO 4020,may_be_concurrent,ACCO 4020,0.0,,
ACCO 4045,ACCO 4010,,,0.0,,
ACCO 4050,ACCO 1031,,,0.0,,
ACCO 4060,ACCO 4050,,,0.0,,
ACCO 4080,ACCO 3001,,,0.0,or admittance into the AIM major or Commercial Banking Program,
ACCO 4119,ACCO 4010,standing_requirement,,4.0,Sr. stndg. and ACCO 4010,
ACCO 4170,ACCO 4050,,,0.0,,
ACCO 4931,ACCO 3001,,,0.0,,
ACCO 4975,ACCO 4010,instructor_consent,,0.0,ACCO 4010 or cons. of instr. Consent required,
ACCO 4986,ACCO 3986 or ACCO 3987,instructor_consent,,0.0,"ACCO 3986 or ACCO 3987 , cons. of prog. dir. and cons. of Business Career Center Consent required",
ACCO 4987,ACCO 3987,instructor_consent;standing_requirement,,3.0,"Jr. stndg., cons. of prog. dir. and cons. of Business Career Center; ACCO 3987 . Consent required",
ACCO 4989,ACCO 3001;ACCO 4020,instructor_consent,,0.0,"ACCO 3001 , ACCO 4020 , and at least 3 additional ACCO major courses; cons. of prog. dir. and cons. of Business Career Center Consent required",
ACCO 4995,none,instructor_consent,,0.0,Cons. of dept. ch. Consent required,
ACCO 5010,none,major_restriction,,0.0,Admitted to the graduate ACCO or ACAN program; or cons. of M.S.A. prog. dir,
ACCO 5015,none,major_restriction,,0.0,Admitted to the graduate ACCO or ACAN program; or cons. of M.S.A. prog. dir,
ACCO 5040,none,major_restriction,,0.0,Admitted to the graduate ACCO or ACAN program; or cons. of M.S.A. prog. dir,
ACCO 5045,none,major_restriction,,0.0,Admitted to the graduate ACCO or ACAN program; or cons. of M.S.A. prog. dir,
ACCO 5050,none,major_restriction,,0.0,Admitted to the graduate ACCO or ACAN program; or cons. of M.S.A. prog. dir,
ACCO 5060,ACCO 4050 or OR 5050,major_restriction,,0.0,"Admitted to graduate ACCO, ACAN programs or BMAN certificate; or cons. of M.S.A. prog. dir",
ACCO 5080,none,major_restriction,,0.0,Admitted to the graduate ACCO or ACAN program; or cons. of M.S.A. prog. dir,
ACCO 5119,none,major_restriction,,0.0,Admitted to the graduate ACCO or ACAN program; or cons. of M.S.A. prog. dir,
ACCO 5931,ACCO 6200,major_restriction,,0.0,"Admitted to ACCO, ACAN, BUAD, ECON or NURS program and ACCO 6200; or cons. of M.B.A. prog. dir. Additional prerequisites vary depending on topic",
ACCO 6001,none,major_restriction,,0.0,Admitted to graduate ACCO or ACAN program; or cons. of M.S.A. prog. dir,
ACCO 6040,none,major_restriction,,0.0,Admitted to the graduate ACCO or ACAN program; or cons. of M.S.A. prog. dir,
ACCO 6045,none,major_restriction,,0.0,Admitted to the graduate ACCO or ACAN program; or cons. of M.S.A. prog. dir,
ACCO 6050,none,major_restriction,,0.0,Admitted to the graduate ACCO or ACAN program; or cons. of M.S.A. prog. dir,
