equiv_group_id,course_code,relation_type,scope_program_id,notes
HONORS_BIOL_4987,BIOL 4987,equivalent,,honors variant
HONORS_BIOL_4987,BIOL 4987H,equivalent,,honors variant
HONORS_CHEM_1002,CHEM 1002,equivalent,,honors variant
HONORS_CHEM_1002,CHEM 1002H,equivalent,,honors variant
HONORS_CHEM_1014,CHEM 1014,equivalent,,honors variant
HONORS_CHEM_1014,CHEM 1014H,equivalent,,honors variant
HONORS_COMM_4550,COMM 4550,equivalent,,honors variant
HONORS_COMM_4550,COMM 4550H,equivalent,,honors variant
HONORS_COMM_4750,COMM 4750,equivalent,,honors variant
HONORS_COMM_4750,COMM 4750H,equivalent,,honors variant
HONORS_CORE_1929,CORE 1929,equivalent,,honors variant
HONORS_CORE_1929,CORE 1929H,equivalent,,honors variant
HONORS_CORE_4929,CORE 4929,equivalent,,honors variant
HONORS_CORE_4929,CORE 4929H,equivalent,,honors variant
HONORS_ECON_1103,ECON 1103,equivalent,,honors variant
HONORS_ECON_1103,ECON 1103H,equivalent,,honors variant
HONORS_ECON_1104,ECON 1104,equivalent,,honors variant
HONORS_ECON_1104,ECON 1104H,equivalent,,honors variant
HONORS_GRMN_3500,GRMN 3500,equivalent,,honors variant
HONORS_GRMN_3500,GRMN 3500H,equivalent,,honors variant
HONORS_HEAL_1025,HEAL 1025,equivalent,,honors variant
HONORS_HEAL_1025,HEAL 1025H,equivalent,,honors variant
HONORS_HEAL_4901,HEAL 4901,equivalent,,honors variant
HONORS_HEAL_4901,HEAL 4901H,equivalent,,honors variant
HONORS_HIST_4255,HIST 4255,equivalent,,honors variant
HONORS_HIST_4255,HIST 4255H,equivalent,,honors variant
HONORS_HIST_4271,HIST 4271,equivalent,,honors variant
HONORS_HIST_4271,HIST 4271H,equivalent,,honors variant
HONORS_HIST_4955,HIST 4955,equivalent,,honors variant
HONORS_HIST_4955,HIST 4955H,equivalent,,honors variant
HONORS_MATH_1700,MATH 1700,equivalent,,honors variant
HONORS_MATH_1700,MATH 1700H,equivalent,,honors variant
HONORS_PHIL_1001,PHIL 1001,equivalent,,honors variant
HONORS_PHIL_1001,PHIL 1001H,equivalent,,honors variant
HONORS_POSC_2201,POSC 2201,equivalent,,honors variant
HONORS_POSC_2201,POSC 2201H,equivalent,,honors variant
HONORS_POSC_2401,POSC 2401,equivalent,,honors variant
